domain,noise_type,noise_level,fold,actual_noise_pct,runtime_seconds,kappa_RF_XGB,kappa_RF_ET,kappa_XGB_ET,kappa_mean,full_agreement_rate,f1_RF,f1_XGB,f1_ET
Image,asymmetric,0.3,3,29.28240740740741,104.39416742324829,0.8768777831122624,0.9363658397304562,0.8793022915944305,0.8975153048123831,0.866358024691358,0.8768076818159157,0.8620334454620473,0.8769714503427999
Image,asymmetric,0.3,4,30.277777777777775,104.94285130500793,0.8565698073011093,0.9373555341150365,0.8496804164120431,0.8812019192760628,0.8438271604938271,0.8792600839150968,0.8507664630972812,0.8723057605126364
Image,asymmetric,0.4,0,39.513888888888886,101.17827129364014,0.7342486693174739,0.8805381457528553,0.7380698768900413,0.7842855639867902,0.7169753086419753,0.8174776643549351,0.7378274057460339,0.8331525263145837
Image,asymmetric,0.4,1,40.08487654320987,101.1775529384613,0.7251712636892315,0.852184185081786,0.7111610221053726,0.7628388236254633,0.6898148148148148,0.7876295191328312,0.7099766567744444,0.8117082946596386
Image,asymmetric,0.4,2,39.41358024691358,101.26707792282104,0.7414302628734945,0.8731670672213905,0.7345557317245133,0.7830510206064661,0.7169753086419753,0.8061073488337392,0.7397603807062669,0.8266135610640264
Image,asymmetric,0.4,3,39.96141975308642,104.70300316810608,0.7330738129039837,0.8672234751110011,0.7334013713921225,0.7778995531357024,0.7104938271604938,0.7998601069919442,0.7047052281150441,0.7977901992633802
Image,asymmetric,0.4,4,40.223765432098766,100.99164271354675,0.7137442638520791,0.8701920317962997,0.7118121238199944,0.7652494731561243,0.6935185185185185,0.8064333188883624,0.7100100876822241,0.8190720774012628
Image,pairflip,0.4,0,22.554012345679013,91.6905825138092,0.813618437433732,0.9118858774235925,0.8074407835835626,0.8443150328136291,0.7975308641975308,0.8627779337675567,0.8187597586798621,0.8646147485686713
Image,pairflip,0.4,1,22.939814814814817,96.69422459602356,0.8112161844052231,0.8874780514335375,0.8036552239051495,0.8341164865813034,0.7839506172839507,0.8508572232180611,0.8121147806983459,0.8646753784529123
Image,pairflip,0.4,2,22.854938271604937,91.55431485176086,0.816401706478521,0.909169923580873,0.8088413425801388,0.8448043242131776,0.799074074074074,0.8557647414120032,0.8144047484427908,0.8603898780219756
Image,pairflip,0.4,3,22.924382716049383,95.52316355705261,0.8015240398947848,0.9004642895069424,0.8015361973928615,0.8345081755981963,0.7842592592592592,0.8348835228166103,0.8107709340360808,0.8441842623463547
Image,pairflip,0.4,4,23.109567901234566,95.52855587005615,0.7988895742059168,0.8988497525505778,0.8033764697457171,0.8337052655007372,0.7842592592592592,0.8411319285392149,0.809787502435643,0.8570052214757593
