domain,model,ensemble,noise_type,noise_level,fold,train_size,actual_noise_pct,f1_macro,accuracy,source_file,source_path,who
Tabular,XGBoost,XGBoost,asymmetric,0.3,4.0,278885.0,29.930257991645306,0.7478102957846221,0.8581202220277965,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
Tabular,XGBoost,XGBoost,asymmetric,0.4,0.0,278884.0,40.13138078914531,0.603356547906567,0.72975531396116,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
Tabular,XGBoost,XGBoost,asymmetric,0.4,1.0,278885.0,39.942628682073256,0.6059782519911486,0.7316877267968044,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
Tabular,XGBoost,XGBoost,asymmetric,0.4,2.0,278885.0,40.06776986930097,0.6038728098328258,0.7343268168844395,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
Tabular,XGBoost,XGBoost,asymmetric,0.4,3.0,278885.0,40.01111569284831,0.6089328381352433,0.7351300182154588,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
Tabular,XGBoost,XGBoost,asymmetric,0.4,4.0,278885.0,39.85513742223497,0.6163178881463673,0.7333801867443095,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
Tabular,Voting,Voting,symmetric,0.0,0.0,278884.0,0.0,0.9298958527604542,0.9562835260032702,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,Voting/Voting
Tabular,Voting,Voting,symmetric,0.0,1.0,278885.0,0.0,0.9337140642133948,0.9583626167151934,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,Voting/Voting
Tabular,Voting,Voting,symmetric,0.0,2.0,278885.0,0.0,0.9355178092799752,0.956584099482222,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,Voting/Voting
Tabular,Voting,Voting,symmetric,0.0,3.0,278885.0,0.0,0.935946711882502,0.957057414552287,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,Voting/Voting
Tabular,Voting,Voting,symmetric,0.0,4.0,278885.0,0.0,0.92990507350469,0.9549776968201832,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,Voting/Voting
Tabular,Voting,Voting,symmetric,0.1,0.0,278884.0,10.010255159851408,0.9038893703975102,0.9443217348899916,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,Voting/Voting
Tabular,Voting,Voting,symmetric,0.1,1.0,278885.0,10.013804973376123,0.9123093288145732,0.946787911819968,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,Voting/Voting
Tabular,Voting,Voting,symmetric,0.1,2.0,278885.0,10.05181347150259,0.910957956697374,0.9437615639477346,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,Voting/Voting
Tabular,Voting,Voting,symmetric,0.1,3.0,278885.0,10.024562095487386,0.9131420606064008,0.9461137964171484,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,Voting/Voting
Tabular,Voting,Voting,symmetric,0.1,4.0,278885.0,9.96503935313839,0.9062293473183284,0.9431161343067368,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,Voting/Voting
Tabular,Voting,Voting,symmetric,0.2,0.0,278884.0,20.01082887508785,0.8745212413819269,0.933478672441984,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,Voting/Voting
Tabular,Voting,Voting,symmetric,0.2,1.0,278885.0,20.00501999031859,0.8812106707479032,0.9356865219948078,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,Voting/Voting
Tabular,Voting,Voting,symmetric,0.2,2.0,278885.0,19.98601574125536,0.8824706139437998,0.9330044032644396,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,Voting/Voting
